from,to
Northland,1
Auckland,2
Waikato,3
Bay of Plenty,4
Gisborne / Hawke's Bay,5
Taranaki,6
Manawatu-Wanganui,7
Wellington,8
Nelson/Tasman/Marlborough/West Coast,9
Canterbury,10
Otago,11
Southland,12
