from,to
0 - 4,0
5 - 9,5
10 - 14,10
15 - 19,15
20 - 24,20
25 - 29,25
30 - 34,30
35 - 39,35
40 - 44,40
45 - 49,45
50 - 54,50
55 - 59,55
60 - 64,60
65+,65
